フルーツ自転車パーク阪急烏丸駅,民営,地下鉄／阪急,四条／烏丸,0120-162-088,中京区蛸薬師通烏丸東入一蓮社町307番,72,,,,,400,,,,6時間毎100円,,無,0:00,0:00,,135.760622,35.00610027
京都駅八条口まちかど駐輪場（一時エリア）,民営,近鉄・地下鉄・JR,京都,0800−3333−321,南区西九条院町,202,,,,,150,,,,,入庫後1時間,無,0:00,0:00,,135.75637,34.984416
四条大宮まちかど駐輪場,民営,阪急線,大宮,0800−3333−321,京福電鉄四条大宮駅南側,141,,,,,600,,,,200円12Ｈ，以降3Ｈ毎に100円加算,入庫後1時間,無,0:00,0:00,,135.7486665,35.00322049
二条城駐車場,公営,地下鉄東西線,二条城前,075−361−7431,中京区二条通堀川西入る二条城町541番地,100,35,,,,200,,200,,【バイク】1日200円,,無,0:00,0:00,,135.7514115,35.01316649
フルーツ自転車パーク出町柳駅,民営,京阪線,出町柳,075-705-4141,左京区田中上柳町77,66,,,,,,,,,100円/24時間　以降12時間ごと50円,,無,0:00,0:00,,135.7749393,35.03020542
京都市西賀茂自転車駐車場,公営,その他,京都市営バス西賀茂車庫前,075−361−7431,北区西賀茂大道口町65番地,250,,,,,150,,,,,,無,0:00,0:00,,135.7446132,35.06406104
ECOPOOL京阪丹波橋,民営,京阪線,丹波橋,0120−3566−21,伏見区桃山井伊掃部西町,72,,,,,,,,,月極のみ　月2000円,,有,0:00,0:00,,135.7660857,34.94149124
エコステーション21ろっくんプラザ,民営,地下鉄東西線,京都市役所前,0120−923−521,中京区桜之町,70,,,,,,,,,1Ｈまで50円，3Ｈまで100円，以降1Ｈ毎50円,,無,0:00,0:00,,135.7672236,35.00736686
岡松町駐輪場,民営,地下鉄烏丸線,今出川,0120-559-115,上京区岡松町262番地3,21,,,,,600,,,,6時間毎150円,,無,0:00,0:00,,135.75898,35.029985
丹波口駅駐輪場,民営,JR線,丹波口,075−821−7080,下京区中堂寺北町,286,,,,,200,,,,12Ｈ100円,,無,0:00,0:00,,135.742238,34.99639369
岩倉駅駐輪場,民営,叡山電鉄線,岩倉,0120−923−521,左京区岩倉忠在地町,85,,17,,,150,200,,,,入庫後30分,有,0:00,0:00,,135.7867599,35.07133055
京都市松尾大社駅自転車等駐車場,公営,阪急線,松尾,0800−3333−321,西京区嵐山宮ノ前町47番地の3,180,,20,,,,250,,,【自転車】8Ｈまで100円，以降24Ｈまで50円加算，それ以降1日毎150円加算,,無,0:00,0:00,,135.6880078,35.00068924
サイクルパーク丹波橋,民営,近鉄線,丹波橋,075−925−1191,伏見区京町北7丁目6−1,70,80,,,,150,300,300,,,,無,0:00,0:00,,135.7649438,34.93907897
出町柳駐輪場,民営,京阪線,出町柳,075−723−0701,左京区田中上柳町,897,,200,,,150,250,,,,,有,0:00,0:00,,135.773467,35.03039236
T-park東一川町,民営,阪急線,嵐山,075−693−5761,西京区嵐山東一川町12−1,,,,,38,200,200,200,,,,無,0:00,0:00,,135.6820814,35.01034821
船頭町屋内駐輪場,民営,阪急線,河原町,075−761−8161,下京区西木屋町四条下る船頭町,1,27,,,,,,,,月極のみ,,有,0:00,0:00,,135.7701739,35.0026684
T-park南烏丸町駐輪場,民営,地下鉄烏丸線,九条,075-693-5761,南区東九条南烏丸町34-25,,,,,32,300,300,300,,,,無,0:00,0:00,,135.7595445,34.97898665
エコステーション21　パセオ・ダイゴロー西館,民営,地下鉄東西線,醍醐,0120−923−521,伏見区醍醐高畑町30−１,410,,78,,,,,,,【自転車】8Ｈまで150円，以降8Ｈ毎100円，【バイク】8Ｈ200円，以降8Ｈ毎100円,入庫後2時間30分,無,0:00,0:00,,135.8109189,34.9521469
藤森西駐輪場,民営,京阪線,藤森,075−601−5222,伏見区深草堀田町,36,,,,,,,,,月極のみ,,有,0:00,0:00,,135.7699702,34.95668194
エコステーション21綾小路御幸町,民営,阪急線,河原町,0120−923−521,下京区綾小路御幸町西入ル足袋屋町,135,,11,,,,,,,【自転車】3Ｈ毎100円，【原付】3Ｈ毎150円,入庫後1時間,無,0:00,0:00,,135.7658935,35.00255247
エコステーション21くいな橋,民営,地下鉄烏丸線,くいな橋,0120-923-521,伏見区竹田中島町,284,17,,,,100,200,200,,,入庫後1時間,無,0:00,0:00,,135.7584249,34.96320544
